host_id,listings_count,avg_price,avg_rating,superhost_ratio,cluster_id
126644773,8,343.59375,4.775,0.0,1
126824075,2,494.635,4.92,1.0,0
127638239,5,150.2,4.7299999999999995,1.0,0
128015639,1,179.75,4.97,1.0,0
128030152,1,2181.67,4.98,1.0,0
128158942,1,154.72,4.89,1.0,0
128917916,4,174.0,4.9325,1.0,0
128940936,1,127.77,5.0,1.0,0
129618781,1,239.8,4.93,1.0,0
129904961,3,201.69666666666663,4.766666666666667,1.0,0
129935088,1,277.5,4.84,0.0,1
129961318,1,131.33,4.97,1.0,0
130343524,1,329.8,4.88,1.0,0
130348668,1,252.29,5.0,1.0,0
130467604,1,252.29,5.0,1.0,0
130765377,1,211.33,4.84,0.0,1
131200418,16,108.19125,4.86875,1.0,0
131316530,2,272.21000000000004,4.83,0.0,1
131502074,2,151.0,4.895,1.0,0
131802738,2,128.875,4.75,0.0,1
132534885,1,272.0,4.94,1.0,0
132762324,1,359.0,4.45,0.0,1
132930417,2,389.0,4.955,1.0,0
133848555,1,175.0,4.99,1.0,0
134130503,2,967.905,4.92,1.0,0
134577004,3,309.1333333333333,4.93,1.0,0
134724373,1,165.0,4.89,1.0,0
134911709,1,252.29,5.0,0.0,1
135108464,1,350.4,4.95,1.0,0
135111765,1,248.5,4.95,0.0,1
135377800,2,120.25,4.98,1.0,0
135420210,1,225.95,4.99,1.0,0
135551998,1,245.5,4.98,1.0,0
136131559,4,233.5,4.835,1.0,0
136627599,2,334.52,4.970000000000001,0.0,1
136792470,1,565.0,4.93,0.0,1
137027970,1,328.3,4.83,0.0,1
137698280,1,434.0,4.98,1.0,0
138016358,3,200.76,5.0,1.0,0
138575195,1,969.09,4.92,0.0,1
138895972,1,718.5,5.0,1.0,0
139005195,1,4736.0,4.97,0.0,1
139764807,1,172.0,4.84,1.0,0
139875070,1,145.35,5.0,0.0,1
140099678,1,64.53,4.92,0.0,1
140802212,3,279.25,4.92,1.0,0
140833338,1,2134.0,4.79,0.0,1
140872749,1,142.33,4.61,0.0,1
141008177,1,465.0,4.95,1.0,0
141228523,3,163.26333333333332,4.64,0.0,1
141601409,1,141.18,5.0,0.0,1
141605459,1,252.29,4.92,0.0,1
143421880,1,157.55,4.9,1.0,0
143561049,1,274.7,5.0,0.0,1
144839886,1,417.0,4.99,1.0,0
144885524,1,582.0,4.96,1.0,0
144910053,1,326.5,4.94,1.0,0
145405692,3,248.0,4.87,0.0,1
145483373,2,1726.5,4.975,1.0,0
146232658,1,312.0,4.56,0.0,1
146358111,1,252.29,4.79,0.0,1
147265814,2,123.655,4.95,1.0,0
147927332,1,194.0,4.89,0.0,1
147938322,1,628.0,4.78,1.0,0
148427269,8,239.46,4.56375,0.0,1
148590346,1,293.0,4.87,1.0,0
148871117,1,489.0,4.9,1.0,0
149277668,1,456.67,4.92,1.0,0
149438243,1,273.27,5.0,1.0,0
149508948,1,171.47,5.0,1.0,0
149639732,1,252.29,4.92,0.0,1
149757206,2,451.83,5.0,1.0,0
149797235,1,296.0,4.89,1.0,0
150318647,1,366.0,4.9,1.0,0
150525926,1,134.73,4.91,0.0,1
150732464,5,123.09,4.7,0.0,1
150807527,1,252.29,4.84,1.0,0
151399600,6,400.185,4.935,0.0,1
151678051,1,112.1,4.83,0.0,1
152363421,1,399.5,4.92,0.0,1
152396699,1,318.0,4.87,0.0,1
152980706,1,640.0,4.97,1.0,0
152997097,2,359.665,4.9399999999999995,1.0,0
153041033,1,231.0,4.84,1.0,0
153157973,2,177.45499999999998,4.915,1.0,0
153667654,1,458.5,4.99,1.0,0
153797883,3,253.87666666666667,4.82,0.0,1
153991338,1,203.67,5.0,1.0,0
154514692,1,471.0,4.78,0.0,1
154851443,1,252.29,4.79,0.0,1
155142713,1,371.0,4.86,1.0,0
155160397,1,628.0,4.5,0.0,1
156102468,3,124.66666666666667,4.54,0.0,1
156337070,1,360.1,4.93,0.0,1
156562268,1,411.0,4.96,0.0,1
156863365,1,84.62,3.67,0.0,1
156917089,1,126.4,4.83,1.0,0
156943235,1,252.29,4.17,0.0,1
157059672,1,252.29,5.0,0.0,1
157074592,3,108.5,4.49,0.0,1
157305880,1,282.08,4.92,0.0,1
157329441,1,139.33,4.94,1.0,0
157999191,27,84.56370370370371,4.822592592592593,1.0,0
158281507,1,287.33,4.96,1.0,0
158402771,1,122.26,4.79,1.0,0
158469625,1,413.0,4.89,1.0,0
159023018,1,950.07,4.92,0.0,1
159220529,1,182.01,4.75,0.0,1
159355723,5,1089.524,4.936,0.0,1
159391934,11,245.53636363636363,4.915454545454545,1.0,0
159753287,3,503.0,4.953333333333333,1.0,0
160591574,5,586.8,4.75,0.0,1
160781622,1,252.29,5.0,0.0,1
